suggested_icd_name,ayurveda_term,ayurveda_code,ayurveda_confidence,ayurveda_justification,siddha_term,siddha_code,siddha_confidence,siddha_justification,unani_term,unani_code,unani_confidence,unani_justification
"Other specified effects of venomous animals, insects and other invertebrates",catuShpAda-daShTaH,PE-4.34,90%,"The symptoms described – edema, fever, tremors, body aches, and neurological manifestations (fixed gaze, dizziness) – strongly suggest envenomation, aligning with the meaning of 'catuShpAda-daShTaH' (bitten by a quadruped) and the broad category of envenomation within ICD-11.",,,,,,,,
8-1.0 - Fever of unspecified site,maNDalIsarpaviSha-caturthaviShavegaH,PE-1.3.1.4,70%,"The provided Ayurvedic term,  maNDalIsarpaviSha-caturthaviShavegaH, highlights 'jvaraḥ' (fever) as a key characteristic.  While lacking specificity on the underlying cause,  'Fever of unspecified site' in ICD-11 is the most appropriate general mapping.",,,,,,,,
"T88-Toxic effects of other substances, unspecified",maNDalIsarpaviSha-pa~jcamaviShavegaH,PE-1.3.1.5,80%,"The Ayurvedic term describes a whole-body burning sensation ('sarvagātrēṣu paridāhaḥ') following snake venom ('maNDalIsarpaviSha'), suggesting a systemic toxic reaction, best fitting within the broad category of unspecified toxic effects in ICD-11.",,,,,,,,
8E00 - Venomous snake bite,maNDalIsarpaviSha-saptamaviShavegaH,PE-1.3.1.7,90%,"The symptoms described, including impaired function, muscle pain (kaṭībhaṅgaḥ, pr̥ṣṭhabhaṅgaḥ), excessive salivation and sweating, and respiratory difficulty, are consistent with the effects of a venomous snake bite, aligning with the term's reference to snake venom (sarpaviSha).",,,,,,,,
"T63.4, Venomous snake bite with systemic effects",rAjimat-sarpaviShaH,PE-1.4,90%,"The symptoms described – whitish skin discoloration, fever with chills, horripilation, body stiffness, swelling at the bite site, thick salivation, and constant vomiting – strongly suggest systemic effects following a venomous snake bite, aligning with ICD-11 T63.4.",,,,,,,,
"Snake bite (venomous), unspecified",rAjimat-sarpaviShavega,PE-1.4.1,90%,"The vernacular term 'rAjimat-sarpaviShavega' directly translates to 'snake venom poisoning' which aligns with the ICD-11 category for snake bites, considering the lack of further specifying details in the provided information.",,,,,,,,
"XA00.00,Venomous snake bite",rAjimat sarpaviSha-prathamaviShavegaH,PE-1.4.1.1,80%,"The term describes initial symptoms (pallor, horripilation, whitish discoloration) consistent with early-stage venomous snake bite, aligning with the broad category XA00.00 in ICD-11, which includes various snake bite manifestations.",,,,,,,,
"Toxic effects of venomous snake bite, unspecified",rAjimat sarpaviSha-tRutIyaviShavegaH,PE-1.4.1.3,90%,"The symptoms described – blurred vision, swelling at the bite site, sweating, nasal and eye discharge – are consistent with the systemic effects of venomous snake bites, aligning with the broad ICD-11 category encompassing such effects, though a specific venom type isn't specified in the provided description.",,,,,,,,
"G44.2, Cervical dystonia",rAjimat sarpaviSha-caturthaviShavegaH,PE-1.4.1.4,80%,"The symptoms described, manyāstambhaḥ (torticollis/stiffness of neck) and śirōgauram (heaviness of head), strongly suggest Cervical dystonia,  although the 'heaviness of head' could also relate to other conditions; however, torticollis is the defining characteristic.",,,,,,,,
"6A00.0, other specified disorders of speech",rAjimat sarpaviSha-pa~jcamaviShavegaH,PE-1.4.1.5,70%,"The presence of vāksaṅgam (dysphasia or impediment of speech) and śītajvaram (fever with chills) in the description suggests a neurological condition affecting speech, with a possible infectious component;  while not a perfect match,  'other specified disorders of speech' in ICD-11 seems the closest given the limited information.",,,,,,,,
Poisoning by snake venom,rAjimat sarpaviSha-ShaShThaviShavegaH,PE-1.4.1.6,90%,"The term 'rAjimat sarpaviSha-ShaShThaviShavegaH' explicitly mentions snake venom ('sarpaviSha') and the symptoms described (diarrhoea, cardiac pain, syncope, indigestion) are consistent with systemic effects of snake envenomation, aligning with ICD-11's poisoning category.",,,,,,,,
XE00 Systemic inflammatory response syndrome,rAjimat sarpaviSha-saptamaviShavegaH,PE-1.4.1.7,90%,"The described symptoms of  rAjimat sarpaviSha-saptamaviShavegaH, including excessive salivation, sweating, respiratory difficulty, and generalized impairment, strongly suggest a severe systemic inflammatory response, possibly triggered by snake venom, aligning with the broad category of systemic inflammatory response syndrome in ICD-11.",,,,,,,,
"6A00.0, unspecified neurological disorder",puruShasarpadaShTaH,PE-1.5,60%,"The upward gaze ('ūrdhvaprēkṣaṇam') described in the definition of 'puruShasarpadaShTaH' suggests a neurological issue, lacking more specific symptoms, the most appropriate ICD-11 mapping is to a general neurological disorder category.",,,,,,,,
"8E00, Neurological disorders of uncertain aetiology",napuMsakasarpadaShTaH,PE-1.7,60%,"The description 'looks sideways' (tiryak prēkṣaṇam) suggests a neurological issue, potentially involving cranial nerves affecting eye movement.  Lack of further detail prevents a more precise ICD-11 mapping, thus a broad neurological category is used.",,,,,,,,
Pre-eclampsia,garBiNIsarpadaShTaH,PE-1.8,90%,"The symptoms described, pallor (pāṇḍu-mukhaḥ) and facial puffiness (dhmāta-mukhaḥ) in a pregnant woman (garBiNIsarpadaShTaH implies a pregnant woman bitten by a snake, but the focus is on the pregnancy-related symptoms), are key indicators of pre-eclampsia, aligning with ICD-11 criteria.",,,,,,,,
6A00.0 Eating disorder not otherwise specified,grAsArthisarpadaShTaH,PE-1.10,70%,"The primary symptom described, 'annakāṅkṣā' (craving for food), while not a complete picture of any single ICD-11 eating disorder, points towards a possible unspecified eating disorder due to its focus on abnormal eating behavior related to food cravings.  More information would be needed for a more precise diagnosis.",,,,,,,,
"Toxic effect of venomous animals, insects and other invertebrates, unspecified",vRuddhasarpadaShTaH,PE-1.11,70%,"The Ayurvedic term 'vRuddhasarpadaShTaH' describes delayed or mild poisoning from snakebite, aligning with the broad ICD-11 category encompassing unspecified venomous animal envenomation, though lacking specifics on the type of snake or the precise symptoms.",,,,,,,,
Toxic effects of venomous animals and other invertebrates (other specified),bAlasarpadaShTaH,PE-1.12,70%,"The term 'bAlasarpadaShTaH' describes snakebite with varying speeds of envenomation ('āśuvēgaḥ' and 'mr̥duvēgaḥ'), aligning with the broad category of venomous animal bite effects in ICD-11, though a more precise ICD-11 code would require detailed clinical information beyond the provided description.",,,,,,,,
Blindness due to other specified causes,andhAhika sarpadaShTaH,PE-1.13,90%,"The Ayurvedic term 'andhAhika sarpadaShTaH', indicating blindness following a snake bite, points to a visually impairing condition resulting from a specific etiology (snake bite) rather than an inherent or otherwise specified cause of blindness; hence 'Blindness due to other specified causes' is the closest ICD-11 match.",,,,,,,,
"T63.511, Poisoning by venomous snake, spider and other arachnid bites and stings",sadyaprANaharasarpadaShTaH,PE-1.15,90%,"The description of immediate collapse ('drops on the earth at the very moment of bite'), flaccidity ('flaccidity/laxity'), and sleepiness ('sleepy') strongly points to a severe systemic reaction to a venomous snake bite, aligning with the ICD-11 category for venomous snakebite poisoning, which includes neurotoxic effects such as paralysis and drowsiness.",,,,,,,,
"Snake bite, unspecified",kRuShNasarpadaMSaH,PE-1.16,90%,"कृष्णसर्पदंशः (kRuShNasarpadaMSaH) translates to 'black snake bite', indicating a venomous snake bite.  While specifics are lacking, the most appropriate general ICD-11 category is 'Snake bite, unspecified' encompassing various venomous snake bites.",,,,,,,,
Other specified syndromes affecting the nervous system,Sa~gkhaviShaH,SQ60 (PE-1.17),60%,"The symptoms of sweating, tremor, dry mouth, vomiting, and fever, coupled with the mention of 'Rajas and tamas affecting the mind', suggest a neurological disorder; however, without further clinical details, a precise ICD-11 diagnosis is difficult, hence 'Other specified syndromes' is the most fitting category.",,,,,,,,
Toxicological effects of venomous animal contact,asAdhya-sarpadaShTaH,PE-1.18,90%,"The symptoms described, including loss of consciousness, altered stools, dark discoloration of limbs, and severe pain, strongly suggest a serious envenomation, aligning with the broad category of toxicological effects from venomous animal bites (snakes in this case) within ICD-11.",,,,,,,,
T63.4-Snake bite with systemic manifestations,mUShikAviShaH/AkhuviSha,PE-2,90%,"The symptoms described, including swelling, fever, pain, weakness, vomiting, and bleeding from the bite site, strongly suggest a systemic reaction to a venomous bite, aligning with ICD-11's T63.4 - Snake bite with systemic manifestations, although the source is identified as rodent bite (mūṣikāviṣa) in this case.",,,,,,,,
Poisoning by venomous animal,lAlana-mUShikAdaShTaH,PE-2.1,90%,"The symptoms described—salivation, hiccups, and vomiting—are consistent with the effects of venomous animal bites, aligning with the broad category of 'Poisoning by venomous animal' within ICD-11;  more specific ICD-11 codes require more clinical details.",,,,,,,,
EBV infectious mononucleosis,parihArakAle divAsvapnaH,SR-7,70%,"The constellation of symptoms described, including fever, fatigue (jāḍyam, tandrā), generalized body ache (aṅgamardaḥ), and potentially lymphadenopathy (granthijanmaḥ) points towards a possible infectious mononucleosis, commonly caused by EBV.  However, more specific diagnostic information is needed for a more confident diagnosis.",,,,,Sū’ Mizāj al-Ṭiḥāl al-Raṭb,F-72.3,60%,"The symptoms of 'Sū’ Mizāj al-Ṭiḥāl al-Raṭb', including flabby body, excessive salivation, and blackish tongue, partially overlap with those of infectious mononucleosis, though the connection is not definitive and requires further clinical investigation to confirm."
8A50 - Venomous snake bite,kRuShNa-mUShikAdaShTaH,PE-2.3,80%,"The description includes symptoms consistent with venomous snake bite, specifically oedema (śōphaḥ) and hematemesis (vomiting with blood), although 'kRuShNa-mUShikAdaShTaH' translates to 'rat bite',  the severity and presence of hematemesis suggest a more serious envenomation, possibly misidentified or a severe rat bite with secondary infection, thus 8A50 is a reasonable approximation. ",,,,,,,,
Other specified feeding and eating disorders,haMsira-mUShikAdaShTaH,PE-2.4,80%,"The symptoms of 'anna vidvēṣaḥ' (aversion to food), 'jr̥̄ṁbhā' (yawning), and 'harṣaḥ' (horripilation), while not perfectly matching any single ICD-11 category, point towards a broader eating disorder, particularly given the lack of specific details; the  'other specified' qualifier allows for conditions not perfectly fitting established categories.",,,,,,,,
Other specified poisoning by venomous animals and other arthropods,cikvira-mUShikAdaShTaH,PE-2.5,80%,"The symptoms of  śirōduḥkham (headache), śōpha (oedema), hikkāḥ (hiccup), and vamiḥ (vomiting) following a cikvira-mUShikAdaShTaH (bite from a venomous animal, possibly a rodent or similar) point towards a toxic reaction consistent with poisoning by venomous animals, necessitating a less specific ICD-11 code due to insufficient information on the specific animal.",,,,,,,,
